,Vote,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Avg_Residancy_Altitude,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social,Will_vote_only_large_party,Financial_agenda_matters
1166,Yellows,0.58316273057,0.64567404187,0.649838879169,0.587776202624,1,0,0,0,0,0,0,0,1.0,0.0
1167,Blues,0.600024020769,0.633763806281,0.6359107297,0.541555490869,0,0,1,0,0,0,0,0,1.0,0.0
1168,Oranges,0.600589998688,0.630639336526,0.659467469288,0.518057890579,0,0,1,0,0,0,0,0,1.0,0.0
1169,Pinks,0.614426020192,0.585593063479,0.611165572629,0.609632234594,0,0,0,0,0,0,1,0,1.0,1.0
1170,Yellows,0.619796872042,0.636689199318,0.654353902828,0.555436959373,0,0,0,0,1,0,0,0,1.0,0.0
1171,Whites,0.391433549734,0.60089599344,0.677295557331,0.568614281122,0,0,0,1,0,0,0,0,1.0,1.0
1172,Oranges,0.616342128101,0.637857104845,0.668979476053,0.516436213422,0,0,0,0,0,0,0,1,1.0,0.0
1173,Yellows,0.611203757711,0.630383961755,0.666264723763,0.534788393733,0,0,1,0,0,0,0,0,1.0,0.0
1174,Greys,0.611975311405,0.643247847376,0.664850639085,0.589146279017,0,0,0,0,1,0,0,0,1.0,0.0
1175,Reds,0.642059756911,0.647890294709,0.656385118289,0.546274861645,0,1,0,0,0,0,0,0,1.0,0.0
1176,Greens,0.594981672504,0.562955411459,0.372559357163,0.537647495813,0,0,0,1,0,0,0,0,1.0,1.0
1177,Oranges,0.669740380901,0.675791815854,0.652815649832,0.608436360498,1,0,0,0,0,0,0,0,1.0,0.0
1178,Pinks,0.688449239427,0.536975697845,0.625005171265,0.555032933324,0,0,0,0,0,1,0,0,1.0,1.0
1179,Yellows,0.587153158182,0.633392038934,0.639117326002,0.545652044816,0,1,0,0,0,0,0,0,1.0,0.0
1180,Yellows,0.594367118131,0.640131291349,0.639581141833,0.500874910765,0,0,0,0,0,0,0,1,1.0,0.0
1181,Yellows,0.59991416141,0.637474826736,0.645303423858,0.554291714246,0,0,0,0,1,0,0,0,1.0,0.0
1182,Greys,0.607981474493,0.643274487794,0.659443764072,0.582264659621,0,1,0,0,0,0,0,0,1.0,0.0
1183,Yellows,0.620492546392,0.6361726965,0.665403454723,0.514046269281,1,0,0,0,0,0,0,0,1.0,0.0
1184,Pinks,0.686287216673,0.673195149976,0.683719861778,0.551838479227,0,0,0,0,0,1,0,0,1.0,1.0
1185,Blues,0.609905001413,0.635927115214,0.641533530416,0.511572826455,1,0,0,0,0,0,0,0,1.0,0.0
1186,Reds,0.631831474888,0.641446708338,0.648331344179,0.598660504194,0,1,0,0,0,0,0,0,1.0,0.0
1187,Yellows,0.572761030481,0.635038139187,0.641521454167,0.58871423791,1,0,0,0,0,0,0,0,1.0,0.0
1188,Whites,0.580885567535,0.660699683714,0.683768721065,0.59587838608,0,0,0,1,0,0,0,0,1.0,1.0
1189,Whites,0.65133134521,0.689032573887,0.669487137363,0.526864020445,0,0,0,1,0,0,0,0,1.0,1.0
1190,Yellows,0.597909879752,0.647621020218,0.649340961225,0.600798935945,0,0,0,0,0,0,0,1,1.0,0.0
1191,Blues,0.606717761225,0.638287171046,0.637515047256,0.536386611101,0,0,0,0,1,0,0,0,1.0,0.0
1192,Pinks,0.686577946093,0.682678028112,0.689485029353,0.499679205302,0,0,0,0,0,1,0,0,1.0,1.0
1193,Whites,0.637934194961,0.656842855853,0.653316049738,0.568119538305,0,0,0,0,0,1,0,0,1.0,1.0
1194,Blues,0.602143999711,0.633422331388,0.635365954376,0.535785311267,0,0,0,0,0,0,0,1,1.0,0.0
1195,Yellows,0.583190971935,0.640684198777,0.634099233461,0.596449466778,0,0,0,0,0,0,0,1,1.0,0.0
1196,Yellows,0.576608204198,0.634423277614,0.639163158745,0.538354095001,0,0,1,0,0,0,0,0,1.0,0.0
1197,Pinks,0.646133359675,0.643533031579,0.651941075774,0.565335969619,0,0,0,0,0,1,0,0,1.0,1.0
1198,Greys,0.612568458371,0.642508040131,0.659754588134,0.569027891856,0,0,0,0,0,0,0,1,1.0,0.0
1199,Yellows,0.626770799514,0.640340128698,0.668781005953,0.606332099806,0,0,0,0,1,0,0,0,1.0,0.0
1200,Oranges,0.603900242369,0.636758854567,0.664452977027,0.609823197973,1,0,0,0,0,0,0,0,1.0,0.0
1201,Oranges,0.609743431787,0.636445808939,0.661868749451,0.505342043742,0,0,1,0,0,0,0,0,1.0,0.0
1202,Browns,0.484652204341,0.628913701718,0.681219324945,0.660541171253,0,0,0,0,1,0,0,0,0.0,0.0
1203,Yellows,0.628656998324,0.64205526829,0.675406493738,0.563242089587,0,0,1,0,0,0,0,0,1.0,0.0
1204,Oranges,0.60596618276,0.63518953683,0.665460368305,0.608390922212,0,0,0,0,0,0,0,1,1.0,0.0
1205,Oranges,0.602759121757,0.636387406832,0.657502852427,0.581019149728,0,0,0,0,0,0,0,1,1.0,0.0
1206,Yellows,0.60711241531,0.635937478081,0.64535530807,0.54807984364,0,0,0,0,1,0,0,0,1.0,0.0
1207,Yellows,0.593871547884,0.628762590465,0.65022674826,0.577842297833,0,0,0,0,1,0,0,0,1.0,0.0
1208,Blues,0.60063063047,0.634887140107,0.640162189376,0.511126584381,0,0,0,0,1,0,0,0,1.0,0.0
1209,Greys,0.613346559633,0.642086195113,0.657475277677,0.60116507425,0,0,0,0,1,0,0,0,1.0,0.0
1210,Reds,0.595665295833,0.658885108682,0.673008255479,0.578051177357,0,0,1,0,0,0,0,0,1.0,0.0
1211,Greys,0.605269469715,0.635011297254,0.657544769037,0.580125733945,1,0,0,0,0,0,0,0,1.0,0.0
1212,Oranges,0.609314449776,0.633375432247,0.665720273992,0.588795828936,0,0,0,0,1,0,0,0,1.0,0.0
1213,Yellows,0.621140419954,0.645510522262,0.657272253144,0.52281520797,0,0,0,0,1,0,0,0,1.0,0.0
1214,Blues,0.641714229,0.649851803791,0.652078719489,0.51445561146,1,0,0,0,0,0,0,0,1.0,0.0
1215,Yellows,0.59242888884,0.635654492518,0.643712833806,0.539206505063,0,0,1,0,0,0,0,0,1.0,0.0
1216,Yellows,0.586570927362,0.650256607674,0.640762893837,0.523075245503,0,0,0,0,0,0,0,1,1.0,0.0
1217,Oranges,0.668301394646,0.675038245108,0.651012169578,0.56506514982,0,0,0,0,1,0,0,0,1.0,0.0
1218,Oranges,0.603887487801,0.63496800553,0.660755357109,0.555370940442,0,0,0,0,1,0,0,0,1.0,0.0
1219,Yellows,0.62241945826,0.645735124123,0.669782775663,0.559760445487,0,1,0,0,0,0,0,0,1.0,0.0
1220,Yellows,0.62555244687,0.645916119232,0.671316798033,0.574248309453,0,0,1,0,0,0,0,0,1.0,0.0
1221,Whites,0.686390442853,0.689730989033,0.687129055292,0.523982002401,0,0,0,0,0,1,0,0,1.0,1.0
1222,Oranges,0.601274957828,0.633438838415,0.662095186411,0.567283136019,1,0,0,0,0,0,0,0,1.0,0.0
1223,Reds,0.593652515051,0.660605856731,0.673887765114,0.504703180667,0,0,1,0,0,0,0,0,1.0,0.0
1224,Oranges,0.613392996526,0.636468720441,0.664951434831,0.612718541232,0,1,0,0,0,0,0,0,1.0,0.0
1225,Browns,0.636407115004,0.629729400545,0.604153340346,0.651999817967,0,0,0,0,1,0,0,0,0.0,0.0
1226,Whites,0.673608332225,0.687394645866,0.673733609996,0.526938441127,0,0,0,1,0,0,0,0,1.0,1.0
1227,Greys,0.611992732618,0.639953071274,0.659454317569,0.577768934035,1,0,0,0,0,0,0,0,1.0,0.0
1228,Reds,0.59248717957,0.654178023317,0.674254923043,0.541397099281,0,0,0,0,0,0,0,1,1.0,0.0
1229,Oranges,0.616825047239,0.636633736034,0.663255842831,0.512729865745,0,0,1,0,0,0,0,0,1.0,0.0
1230,Oranges,0.592968474941,0.635104736517,0.667349162507,0.590873009135,1,0,0,0,0,0,0,0,1.0,0.0
1231,Oranges,0.603894858355,0.636527247084,0.662678227959,0.616150490606,0,0,1,0,0,0,0,0,1.0,0.0
1232,Whites,0.336118688627,0.6679743307,0.510558070147,0.614368761678,0,0,0,0,0,1,0,0,1.0,1.0
1233,Yellows,0.600653190073,0.6394943973,0.636347034176,0.564100563974,0,1,0,0,0,0,0,0,1.0,0.0
1234,Blues,0.605063842331,0.637028937272,0.644213126722,0.525832370618,0,0,1,0,0,0,0,0,1.0,0.0
1235,Purples,0.586785250119,0.62533422601,0.634564223849,0.61077931235,0,0,0,0,1,0,0,0,0.0,1.0
1236,Pinks,0.663272699535,0.64934371556,0.673352154022,0.600217004699,0,0,0,0,0,0,1,0,1.0,1.0
1237,Oranges,0.597973607624,0.632732058373,0.660926614635,0.538143583802,0,1,0,0,0,0,0,0,1.0,0.0
1238,Yellows,0.596901935415,0.644971858012,0.63307764991,0.510090123011,0,0,0,0,0,0,0,1,1.0,0.0
1239,Yellows,0.59347443303,0.632523112907,0.639036560974,0.512441547047,0,0,0,0,1,0,0,0,1.0,0.0
1240,Oranges,0.613386031247,0.635657860302,0.665311211933,0.569704607254,0,1,0,0,0,0,0,0,1.0,0.0
1241,Reds,0.59026522543,0.652405797823,0.672980022167,0.509783316919,1,0,0,0,0,0,0,0,1.0,0.0
1242,Purples,0.640711855784,0.653266939018,0.666013501725,0.633909739956,0,0,0,0,0,0,0,1,0.0,1.0
1243,Browns,0.652179024374,0.609527256022,0.598364161464,0.634343416874,0,0,1,0,0,0,0,0,0.0,0.0
1244,Reds,0.6425818129,0.651960301175,0.657664717115,0.529298998702,0,0,0,0,0,0,0,1,1.0,0.0
1245,Greens,0.688226589591,0.683786803068,0.681802582566,0.539571591502,0,0,0,1,0,0,0,0,1.0,1.0
1246,Yellows,0.622329506851,0.636610329346,0.661511688251,0.517433237139,0,0,0,0,0,0,0,1,1.0,0.0
1247,Greys,0.601759473667,0.638232681745,0.654872517442,0.548674497815,0,0,0,0,0,0,0,1,1.0,0.0
1248,Oranges,0.597518790638,0.636927885132,0.661328305045,0.524625157419,0,0,0,0,1,0,0,0,1.0,0.0
1249,Oranges,0.610969931098,0.636412764134,0.662963780314,0.592451407461,0,0,1,0,0,0,0,0,1.0,0.0
1250,Greys,0.613416901702,0.639961083816,0.659133167687,0.545054728622,0,1,0,0,0,0,0,0,1.0,0.0
1251,Yellows,0.624376637978,0.643958793922,0.661594231374,0.565822096907,0,0,1,0,0,0,0,0,1.0,0.0
1252,Yellows,0.602288310948,0.646845116714,0.645976413843,0.604563601149,0,0,0,0,1,0,0,0,1.0,0.0
1253,Greens,0.472226204676,0.270942556235,0.184080284462,0.55707219597,0,0,0,0,0,0,1,0,1.0,1.0
1254,Yellows,0.607623156485,0.639845776019,0.651233687253,0.581396540061,1,0,0,0,0,0,0,0,1.0,0.0
1255,Greens,0.65158583801,0.639374094167,0.565527788016,0.545136370853,0,0,0,1,0,0,0,0,1.0,1.0
1256,Greys,0.60667957843,0.636725795112,0.657913287327,0.557304760642,1,0,0,0,0,0,0,0,1.0,0.0
1257,Reds,0.590953803903,0.65717035211,0.672782851267,0.539598988732,1,0,0,0,0,0,0,0,1.0,0.0
1258,Blues,0.63816122845,0.646393103749,0.647782961874,0.603333002981,0,0,0,0,0,0,0,1,1.0,0.0
1259,Yellows,0.601955119038,0.633140104735,0.640844651289,0.593469086958,0,0,0,0,1,0,0,0,1.0,0.0
1260,Oranges,0.667184821569,0.673520099931,0.653816736308,0.559819913161,1,0,0,0,0,0,0,0,1.0,0.0
1261,Reds,0.59341038999,0.659571703962,0.676594618888,0.575420665446,1,0,0,0,0,0,0,0,1.0,0.0
1262,Blues,0.637980231366,0.646440525233,0.645368122897,0.607624458971,0,0,0,0,0,0,0,1,1.0,0.0
1263,Oranges,0.592626716372,0.634699583103,0.663350845459,0.606766886177,0,0,1,0,0,0,0,0,1.0,0.0
1264,Greys,0.645100246669,0.637159774558,0.649204941511,0.564449128146,0,0,1,0,0,0,0,0,1.0,0.0
1265,Pinks,0.688898221795,0.55158078328,0.673831816187,0.51498296921,0,0,0,0,0,0,1,0,1.0,1.0
1266,Reds,0.642043836437,0.644968972802,0.656067037235,0.526938235727,1,0,0,0,0,0,0,0,1.0,0.0
1267,Greens,0.682256079461,0.67366751843,0.661435767524,0.603765092086,0,0,0,0,0,0,1,0,1.0,1.0
1268,Blues,0.597465923458,0.634955795203,0.638475188578,0.510963256991,0,0,1,0,0,0,0,0,1.0,0.0
1269,Reds,0.60266596567,0.654622951781,0.678511157294,0.524857865167,0,1,0,0,0,0,0,0,1.0,0.0
1270,Blues,0.606113350474,0.632327750079,0.637608682866,0.552642173555,0,1,0,0,0,0,0,0,1.0,0.0
1271,Yellows,0.603248284423,0.637454845489,0.635809986985,0.569416975154,0,0,0,0,0,0,0,1,1.0,0.0
1272,Greens,0.658725500913,0.669468257024,0.61435423342,0.535646768026,0,0,0,0,0,0,1,0,1.0,1.0
1273,Yellows,0.601703095265,0.634492772112,0.649616960141,0.539263442893,0,0,0,0,1,0,0,0,1.0,0.0
1274,Reds,0.641934689148,0.650562929345,0.656450098284,0.585745403464,0,1,0,0,0,0,0,0,1.0,0.0
1275,Yellows,0.594882578691,0.642603737221,0.637918344145,0.535085283217,0,0,1,0,0,0,0,0,1.0,0.0
1276,Purples,0.575983331511,0.617858106595,0.665674276213,0.508015722788,0,0,0,0,0,0,0,1,0.0,1.0
1277,Blues,0.641720173635,0.649124908193,0.648102059882,0.612710694159,0,0,0,0,0,0,0,1,1.0,0.0
1278,Yellows,0.604496114952,0.634573062364,0.631953057603,0.572835452574,0,0,1,0,0,0,0,0,1.0,0.0
1279,Whites,0.647458439287,0.660159317688,0.661293939852,0.575597679149,0,0,0,0,0,1,0,0,1.0,1.0
1280,Oranges,0.672249022983,0.678061584339,0.658467634766,0.596195605502,0,0,1,0,0,0,0,0,1.0,0.0
1281,Yellows,0.600970444406,0.632366418443,0.63483688706,0.513566026932,0,0,1,0,0,0,0,0,1.0,0.0
1282,Blues,0.611701136018,0.640641087579,0.643695174911,0.567595580427,0,0,0,0,1,0,0,0,1.0,0.0
1283,Greens,0.667067374719,0.685736246678,0.65592937243,0.545498794937,0,0,0,1,0,0,0,0,1.0,1.0
1284,Blues,0.642407866393,0.65297671335,0.651697435991,0.559423638585,0,0,1,0,0,0,0,0,1.0,0.0
1285,Whites,0.678928332894,0.689833982703,0.678732219339,0.562497191074,0,0,0,1,0,0,0,0,1.0,1.0
1286,Reds,0.60055531611,0.656521327121,0.672450822548,0.601517731582,1,0,0,0,0,0,0,0,1.0,0.0
1287,Yellows,0.606000193717,0.638084405954,0.641386302449,0.546537109558,1,0,0,0,0,0,0,0,1.0,0.0
1288,Yellows,0.597407970239,0.636404277526,0.633694267727,0.60347027172,0,0,0,0,1,0,0,0,1.0,0.0
1289,Blues,0.602626736593,0.635553803348,0.636332299206,0.551109113087,1,0,0,0,0,0,0,0,1.0,0.0
1290,Yellows,0.61878200173,0.635652569712,0.666672925031,0.546050561391,1,0,0,0,0,0,0,0,1.0,0.0
1291,Yellows,0.593043586172,0.635412423553,0.638048995466,0.564254044056,0,1,0,0,0,0,0,0,1.0,0.0
1292,Yellows,0.598096738573,0.637471715182,0.636522426553,0.585906347137,0,0,0,0,1,0,0,0,1.0,0.0
1293,Reds,0.595217772515,0.654905017098,0.672705437359,0.550841606038,0,0,0,0,1,0,0,0,1.0,0.0
1294,Yellows,0.604116406029,0.644837103387,0.646062561954,0.574107180265,0,0,0,0,0,0,0,1,1.0,0.0
1295,Yellows,0.597321764002,0.644339230673,0.643481837291,0.612367048664,0,0,1,0,0,0,0,0,1.0,0.0
1296,Blues,0.635887355427,0.64193585603,0.643522129279,0.547155577999,0,1,0,0,0,0,0,0,1.0,0.0
1297,Oranges,0.600715374621,0.636702255572,0.662519355055,0.512923439138,1,0,0,0,0,0,0,0,1.0,0.0
1298,Pinks,0.686297428441,0.679128769389,0.681202752785,0.593480313905,0,0,0,0,0,1,0,0,1.0,1.0
1299,Greens,0.635374945538,0.681828732841,0.629879598173,0.569431738134,0,0,0,1,0,0,0,0,1.0,1.0
1300,Greys,0.610908965273,0.64274717697,0.659719963485,0.602764467151,0,0,0,0,1,0,0,0,1.0,0.0
1301,Pinks,0.670311370151,0.591850366962,0.639425552071,0.521300980792,0,0,0,0,0,1,0,0,1.0,1.0
1302,Blues,0.641310997344,0.653655862968,0.652028416965,0.611512328652,0,0,1,0,0,0,0,0,1.0,0.0
1303,Blues,0.63546580631,0.651562027924,0.654163747551,0.512408677547,0,1,0,0,0,0,0,0,1.0,0.0
1304,Yellows,0.592633815324,0.628726001701,0.633800475035,0.563103168053,0,1,0,0,0,0,0,0,1.0,0.0
1305,Yellows,0.603670041735,0.636600956319,0.638180855469,0.536256448564,0,0,1,0,0,0,0,0,1.0,0.0
1306,Whites,0.551562042496,0.653772463696,0.640457175952,0.569194567297,0,0,0,1,0,0,0,0,1.0,1.0
1307,Yellows,0.593610102024,0.636778104955,0.646319283854,0.533381060302,1,0,0,0,0,0,0,0,1.0,0.0
1308,Whites,0.685494779377,0.68722351918,0.685919759641,0.578934589577,0,0,0,0,0,1,0,0,1.0,1.0
1309,Yellows,0.604285509549,0.637929985694,0.636970564021,0.57727319447,0,1,0,0,0,0,0,0,1.0,0.0
1310,Blues,0.606914901487,0.635808389923,0.639087565208,0.517296574557,0,0,0,0,0,0,0,1,1.0,0.0
1311,Browns,0.660397120903,0.579284832043,0.627286438761,0.622899642921,1,0,0,0,0,0,0,0,0.0,0.0
1312,Yellows,0.602551287359,0.641049597374,0.636870996895,0.511108059248,0,0,0,0,0,0,0,1,1.0,0.0
1313,Yellows,0.627929635126,0.653615225152,0.663878647282,0.508776149567,0,0,0,0,0,0,0,1,1.0,0.0
1314,Blues,0.593538283905,0.629722471863,0.632623012679,0.556649227667,1,0,0,0,0,0,0,0,1.0,0.0
1315,Browns,0.670821502841,0.606552012,0.678469231238,0.628817708428,1,0,0,0,0,0,0,0,0.0,0.0
1316,Yellows,0.60176625775,0.641400596316,0.647024092983,0.519420585877,0,0,0,0,0,0,0,1,1.0,0.0
1317,Pinks,0.672825762933,0.669147219088,0.6814625715,0.587071413849,0,0,0,0,0,1,0,0,1.0,1.0
1318,Greens,0.689243584742,0.582246229974,0.541970771215,0.57968229778,0,0,0,0,0,0,1,0,1.0,1.0
1319,Yellows,0.59081991737,0.637798610453,0.644865930732,0.521090064287,0,0,1,0,0,0,0,0,1.0,0.0
1320,Whites,0.524386592148,0.610536883826,0.571030700831,0.523603189998,0,0,0,0,0,1,0,0,1.0,1.0
1321,Yellows,0.63526415575,0.641995976776,0.659263883474,0.607183341997,0,1,0,0,0,0,0,0,1.0,0.0
1322,Oranges,0.603574303443,0.632512371311,0.659258559345,0.546063004648,1,0,0,0,0,0,0,0,1.0,0.0
1323,Yellows,0.601014683427,0.64086090803,0.638203306888,0.563128270821,0,0,0,0,0,0,0,1,1.0,0.0
1324,Blues,0.605386313687,0.637888919338,0.638743492743,0.518162766158,0,0,0,0,0,0,0,1,1.0,0.0
1325,Blues,0.604396818842,0.633807027481,0.635615813348,0.514096191605,0,1,0,0,0,0,0,0,1.0,0.0
1326,Oranges,0.597621845502,0.637329450439,0.669153876594,0.497984007892,0,0,1,0,0,0,0,0,1.0,0.0
1327,Blues,0.605754843525,0.638694086871,0.638902379336,0.560251328082,0,0,0,0,0,0,0,1,1.0,0.0
1328,Yellows,0.605210720784,0.646622027087,0.63828821589,0.507617385702,1,0,0,0,0,0,0,0,1.0,0.0
1329,Reds,0.643684757418,0.651741304002,0.658099006475,0.565779032298,0,0,1,0,0,0,0,0,1.0,0.0
1330,Greys,0.611434299362,0.645722870553,0.66215530622,0.578524819272,0,0,0,0,0,0,0,1,1.0,0.0
1331,Oranges,0.607801537904,0.635639232891,0.668101447023,0.515750917573,0,0,0,0,0,0,0,1,1.0,0.0
1332,Yellows,0.633694139488,0.638763850469,0.656407040754,0.572544932108,0,0,1,0,0,0,0,0,1.0,0.0
1333,Whites,0.670116134519,0.674485621718,0.671711937864,0.552281219968,0,0,0,1,0,0,0,0,1.0,1.0
1334,Yellows,0.605031115987,0.641275292981,0.630299467826,0.567026208259,0,0,0,0,1,0,0,0,1.0,0.0
1335,Pinks,0.640872473669,0.561628351648,0.577745692311,0.614622422954,0,0,0,0,0,0,1,0,1.0,1.0
1336,Reds,0.596060113285,0.660504435307,0.67271209906,0.542279329296,0,0,0,0,0,0,0,1,1.0,0.0
1337,Greys,0.615342558285,0.635347304412,0.65991705701,0.542263840772,0,0,0,0,0,0,0,1,1.0,0.0
1338,Greys,0.620368672668,0.642761860923,0.665935618132,0.558125629494,1,0,0,0,0,0,0,0,1.0,0.0
1339,Yellows,0.598396008433,0.63407502067,0.641252140381,0.544075618862,0,0,0,0,0,0,0,1,1.0,0.0
1340,Yellows,0.59712587105,0.638194934917,0.640885665336,0.526431760342,1,0,0,0,0,0,0,0,1.0,0.0
1341,Reds,0.636977256406,0.647743061274,0.653059978115,0.566022627921,1,0,0,0,0,0,0,0,1.0,0.0
1342,Greys,0.603013128031,0.637275980239,0.653612964155,0.600112241234,0,0,0,0,1,0,0,0,1.0,0.0
1343,Browns,0.605720345839,0.628421406313,0.561148408703,0.624293039027,0,0,0,0,0,0,0,1,0.0,0.0
1344,Yellows,0.596086687246,0.644013849263,0.650312502982,0.559687904819,0,1,0,0,0,0,0,0,1.0,0.0
1345,Blues,0.635556312788,0.650485429451,0.647057366339,0.562625248993,1,0,0,0,0,0,0,0,1.0,0.0
1346,Yellows,0.60454699675,0.641697934676,0.640522909185,0.531294447687,0,0,0,0,0,0,0,1,1.0,0.0
1347,Blues,0.602621102915,0.632585865746,0.639364017452,0.500942272609,0,1,0,0,0,0,0,0,1.0,0.0
1348,Yellows,0.593643059407,0.633798576144,0.635243015063,0.557316799622,0,0,0,0,0,0,0,1,1.0,0.0
1349,Oranges,0.605426635226,0.634316113349,0.668298493739,0.511287864248,1,0,0,0,0,0,0,0,1.0,0.0
1350,Reds,0.644175587624,0.652568954385,0.656584552829,0.581378977346,0,0,1,0,0,0,0,0,1.0,0.0
1351,Whites,0.67162297138,0.682228522532,0.686320194452,0.589548653784,0,0,0,0,0,1,0,0,1.0,1.0
1352,Reds,0.594404423153,0.655930042994,0.673133554335,0.570463491394,0,0,0,0,0,0,0,1,1.0,0.0
1353,Reds,0.639435038176,0.64715318404,0.657101246477,0.581866594429,0,0,1,0,0,0,0,0,1.0,0.0
1354,Blues,0.603691070259,0.639871808355,0.643679752068,0.522338568017,0,0,1,0,0,0,0,0,1.0,0.0
1355,Oranges,0.610014131557,0.639772329533,0.663504962067,0.588412793532,0,1,0,0,0,0,0,0,1.0,0.0
1356,Reds,0.636944577654,0.644174479225,0.65596880246,0.506306076925,1,0,0,0,0,0,0,0,1.0,0.0
1357,Blues,0.636549080583,0.646864504961,0.652253030578,0.593097721556,0,0,0,0,1,0,0,0,1.0,0.0
1358,Yellows,0.601469930882,0.645848142368,0.642120694162,0.511748512194,0,0,0,0,1,0,0,0,1.0,0.0
1359,Blues,0.635989072724,0.644687196009,0.647721668773,0.520933482908,0,0,0,0,0,0,0,1,1.0,0.0
1360,Reds,0.596452204762,0.652567632614,0.674101029687,0.570063493844,1,0,0,0,0,0,0,0,1.0,0.0
1361,Oranges,0.600863113624,0.638685939228,0.664825496613,0.60858276858,1,0,0,0,0,0,0,0,1.0,0.0
1362,Greens,0.685788075089,0.684217102516,0.682836811881,0.555071680622,0,0,0,1,0,0,0,0,1.0,1.0
1363,Whites,0.54340891787,0.69049273756,0.622792947876,0.498494790599,0,0,0,0,0,1,0,0,1.0,1.0
1364,Pinks,0.62479461947,0.586687321714,0.663258155082,0.544419088006,0,0,0,0,0,1,0,0,1.0,1.0
1365,Whites,0.498370147031,0.520447047357,0.631391016115,0.598438195259,0,0,0,0,0,1,0,0,1.0,1.0
1366,Whites,0.624906627779,0.683623117857,0.653992065548,0.578457330394,0,0,0,1,0,0,0,0,1.0,1.0
1367,Reds,0.579653303203,0.647558354759,0.672199300808,0.530683876877,0,0,0,0,1,0,0,0,1.0,0.0
1368,Pinks,0.688724379435,0.686743765485,0.689615443922,0.541189347837,0,0,0,0,0,0,1,0,1.0,1.0
1369,Yellows,0.605039058893,0.641856508645,0.651196088708,0.614347974632,0,0,0,0,1,0,0,0,1.0,0.0
1370,Yellows,0.602998789767,0.648210955453,0.646702322824,0.533465394793,0,0,1,0,0,0,0,0,1.0,0.0
1371,Reds,0.592805019544,0.652921547512,0.671754673595,0.548730124746,0,1,0,0,0,0,0,0,1.0,0.0
1372,Yellows,0.603070146561,0.638902196952,0.643210333257,0.527917039969,0,1,0,0,0,0,0,0,1.0,0.0
1373,Yellows,0.61398512018,0.630101844958,0.676637394075,0.542527130973,0,0,0,0,1,0,0,0,1.0,0.0
1374,Yellows,0.629555919714,0.624732232893,0.665900199587,0.528006774037,0,1,0,0,0,0,0,0,1.0,0.0
1375,Greys,0.606273681178,0.643264018512,0.659085973014,0.567597767305,0,0,0,0,0,0,0,1,1.0,0.0
1376,Greys,0.650970427672,0.639706582765,0.646495917012,0.566030117215,0,0,0,0,1,0,0,0,1.0,0.0
1377,Oranges,0.595468215218,0.631775192605,0.660213773732,0.52002231206,0,0,0,0,1,0,0,0,1.0,0.0
1378,Blues,0.60432163603,0.637879985377,0.640077942011,0.55168422825,0,0,0,0,1,0,0,0,1.0,0.0
1379,Yellows,0.621770704745,0.643780587814,0.659555748917,0.590679894425,0,0,0,0,1,0,0,0,1.0,0.0
1380,Reds,0.636733323467,0.640814329884,0.651915398088,0.610913343412,1,0,0,0,0,0,0,0,1.0,0.0
1381,Browns,0.556791220403,0.649540136026,0.665806928118,0.647361392545,0,1,0,0,0,0,0,0,0.0,0.0
1382,Greys,0.613017411833,0.64474180779,0.662796551775,0.580580481606,0,0,0,0,1,0,0,0,1.0,0.0
1383,Reds,0.64025050501,0.646855107565,0.656240858068,0.539751896712,0,0,0,0,0,0,0,1,1.0,0.0
1384,Whites,0.676162821318,0.688733133151,0.688012969477,0.549705590674,0,0,0,0,0,1,0,0,1.0,1.0
1385,Greys,0.64370092939,0.639023979219,0.647757638892,0.522239200005,0,1,0,0,0,0,0,0,1.0,0.0
1386,Yellows,0.58929170419,0.636558537878,0.642719126445,0.542894159062,0,0,1,0,0,0,0,0,1.0,0.0
1387,Blues,0.634846097481,0.644324958154,0.648566966901,0.599566564928,0,0,0,0,1,0,0,0,1.0,0.0
1388,Whites,0.663165415716,0.67427460377,0.670567111545,0.517250188334,0,0,0,1,0,0,0,0,1.0,1.0
1389,Blues,0.637345148261,0.649953053703,0.650080766125,0.556206388517,0,0,0,0,1,0,0,0,1.0,0.0
1390,Oranges,0.599962824778,0.632272090346,0.667849392133,0.526304871678,1,0,0,0,0,0,0,0,1.0,0.0
1391,Greys,0.646288450171,0.634675750107,0.648135808354,0.552103291399,1,0,0,0,0,0,0,0,1.0,0.0
1392,Pinks,0.688106803368,0.664840232154,0.668346983266,0.590849472249,0,0,0,0,0,1,0,0,1.0,1.0
1393,Yellows,0.584490072569,0.635295897251,0.636894991639,0.558858746814,0,0,0,0,0,0,0,1,1.0,0.0
1394,Reds,0.642240242331,0.654036176818,0.657477721646,0.529658172701,0,0,0,0,0,0,0,1,1.0,0.0
1395,Yellows,0.608034797946,0.631452018021,0.634405846729,0.553174989279,0,1,0,0,0,0,0,0,1.0,0.0
1396,Pinks,0.639994664267,0.603339499098,0.669902449816,0.504216032896,0,0,0,0,0,1,0,0,1.0,1.0
1397,Blues,0.600741169356,0.630304719613,0.636507868073,0.552915825542,1,0,0,0,0,0,0,0,1.0,0.0
