,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
5318,Greens,9.0,845.587995591,189751.913055,Foreign_Affairs,281.862665197,No,673.206978022,No,Female,By_16:00,0.560664661229,0.84418847505,3.14635110088,3.24522740906,1.48524027783,1.88177403295,6189.0,25.0323974295,834.533608345,8401.13699691,83607.3524868,Yes,453207.635258,28.888295352,1393810.68281,52.4315096671,79738.4246971,40.0,Below_30,3.0,935.795406027,13.0,Public_or_other,Industry_or_other,234.788921429,4.0,Yes
4538,Greys,10.0,70.5444897855,10471.9932221,Financial,23.5148299285,No,445.33569896,Yes,Female,After_16:00,0.377089346992,0.366686446592,1.81858678116,2.31297424296,3.65557189798,4.87048972631,3279.0,26.0204925202,622.155097788,5697.66718518,74422.4377413,Yes,198323.884768,24.9430370602,775351.846368,8.39485118631,586.462056494,60.0,Below_30,1.0,975.762789121,10.0,Motorcycle_or_truck,Industry_or_other,742.579262432,0.0,No
7075,Oranges,8.0,615.684086218,87474.0224862,Financial,205.228028739,No,426.228439768,Yes,Female,By_16:00,0.646250956692,0.0255799696315,8.49087468116,3.51667048642,2.69649098162,5.4182786704,6834.0,42.3332971986,551.723085721,5365.73056912,69002.8971598,Yes,181670.682867,23.4887863825,609999.005806,13.0772705888,42333.771809,60.0,Below_30,2.0,922.19898691,3.0,Public_or_other,Public_Sector,766.05073157,0.0,No
658,Oranges,1.0,292.464406307,42045.8255831,Environment,97.4881354356,No,431.291719707,Yes,Female,After_16:00,0.577876233729,0.746761453338,6.73393552657,0.799928754568,1.08297823463,0.17731791595,4820.0,86.1803138861,590.827971228,5494.57313953,71993.2126493,Yes,186012.547488,24.3069531457,699352.979922,59.0790486662,9611.42468614,90.0,Below_30,2.0,953.026861641,1.0,Foot_or_bicycle,Hightech,756.305031131,1.0,No
6870,Blues,3.0,798.976298097,168262.63391,Social,266.325432699,No,631.793337216,No,Female,After_16:00,0.914359951857,0.753166396637,9.03659225209,2.3225649097,0.241781130899,0.223898526747,9300.0,40.3997990768,652.021475501,7621.97632316,78518.5020203,Yes,399162.82095,25.5347111889,851584.771812,11.7102681194,71205.5615349,70.0,Below_30,5.0,989.483384445,7.0,Car,Industry_or_other,678.969445544,0.0,No
5901,Oranges,8.0,129.69889532,15525.1278702,Environment,43.2329651066,No,359.103934508,Yes,,By_16:00,0.777312603081,0.752881122753,1.85762926238,3.59235958429,8.94450260326,8.33370119566,9310.0,54.0853086393,574.43346387,4739.90627282,69516.3396864,Yes,128955.635779,23.9673416104,661075.708227,1.52525010053,1922.32223702,90.0,Below_30,1.0,932.398243329,2.0,Public_or_other,Hightech,758.995464791,0.0,No
2736,Yellows,1.0,919.644033876,134320.943474,Social,306.548011292,No,438.172614163,Yes,Male,By_16:00,0.288394345436,0.179744801717,5.47535478836,0.523702076171,7.55247144261,0.531442037318,3083.0,99.9830121407,621.734989544,5625.19612072,72903.2250149,Yes,191995.239802,24.934614285,774240.249295,66.2979906891,94288.2312383,70.0,45_and_up,2.0,945.019869627,11.0,Foot_or_bicycle,Student_or_Unemployed,683.282235244,0.0,No
3590,Greys,1.0,26.7518476729,5366.67165064,Environment,8.91728255763,No,601.828148426,No,Male,After_16:00,0.59298928408,0.203496475704,3.52284439839,2.35247412231,0.29440065613,9.35067678336,9485.0,44.4713555276,573.131164227,7164.54381271,69961.1542694,Yes,362197.120237,23.9401579825,658173.951079,87.3809583951,98.4352107702,90.0,30-45,4.0,877.730919342,11.0,Public_or_other,Industry_or_other,603.46011339,0.0,No
3118,Greens,5.0,537.068594585,178721.137012,Foreign_Affairs,179.022864862,No,998.314584842,No,Female,After_16:00,0.894331287825,0.031455302611,8.33323174622,4.94830202544,5.71649698075,6.49305857951,4269.0,24.9419040512,907.676445267,11798.498739,108164.268511,Yes,996632.010309,30.1276690978,1649569.1473,25.6107083522,32238.2090082,40.0,45_and_up,3.0,1320.6273233,11.0,Motorcycle_or_truck,Industry_or_other,807.77412816,1.0,Yes
7202,Blues,7.0,180.626502153,24805.2253818,Healthcare,60.208834051,No,411.986476283,Yes,Male,After_16:00,0.377358395606,0.101061868481,5.8981882222,0.682186831255,8.93861824647,6.92680492997,4968.0,57.1014370071,,5262.32576355,66731.1680677,Yes,169732.85664,23.900428874,653640.51025,62.0924056973,3695.31253183,80.0,Below_30,3.0,860.283444519,13.0,Public_or_other,Services_or_Retail,609.954693137,0.0,No
6473,Oranges,10.0,138.450930321,18697.7677267,Financial,46.150310107,No,405.149340999,Yes,Male,After_16:00,0.643268864369,0.0613597987685,1.40151134459,4.12032222375,0.903538614511,5.07880278165,3196.0,27.6012103306,570.002421819,5191.49825363,70057.6251385,Yes,164145.988512,23.874723492,650984.579474,76.0943125235,2186.00143308,60.0,45_and_up,2.0,935.471300607,11.0,Motorcycle_or_truck,Public_Sector,763.908373741,0.0,No
8459,Pinks,1.0,330.7358984,98637.7731534,Other,110.245299467,No,894.711825634,No,Male,After_16:00,0.528454631567,0.276713461382,8.74120170949,5.35568068037,3.21126223775,5.91796844266,9219.0,42.4854667159,858.406365616,10663.9309876,106407.044668,Yes,800509.250929,29.2985727573,1475607.01212,3.71515844017,12274.271354,50.0,Below_30,2.0,1351.69852864,7.0,Car,Hightech,979.323234048,1.0,Yes
6408,Greens,10.0,521.283727274,103447.05185,Foreign_Affairs,173.761242425,No,595.340194434,No,Female,After_16:00,0.91803259938,0.617870677728,0.243454095908,8.03049974144,0.46126319794,2.72890896071,7092.0,51.8060611561,808.270478998,7569.94290234,77094.9620726,Yes,354429.947109,28.430098118,1307308.21987,94.5818795823,30376.7306114,40.0,45_and_up,3.0,837.250068962,15.0,Foot_or_bicycle,Services_or_Retail,100.545236841,1.0,Yes
6406,Blues,7.0,418.858226372,60270.7599691,Environment,139.619408791,No,431.678951308,Yes,Female,After_16:00,0.7348638447,0.135180972517,8.11622347916,3.96300735651,7.96493194299,9.72984890454,4747.0,79.1634985944,593.71161865,5504.21275038,68949.5730863,Yes,186346.717003,24.3661982806,706042.307775,43.6442098347,19643.1987199,90.0,45_and_up,1.0,884.336643699,4.0,Motorcycle_or_truck,Industry_or_other,613.656583566,1.0,No
9202,Yellows,7.0,740.154945938,125448.853658,Environment,246.718315313,No,508.469967052,No,Female,By_16:00,0.0221847440116,0.557694788557,3.00374956569,9.84217575286,5.73371784063,4.21201206977,9435.0,28.3111354103,605.068951382,6294.83757329,74929.115126,Yes,258541.707394,24.5981493487,733512.71615,18.5017951997,61126.645426,90.0,30-45,1.0,984.096217634,14.0,Foot_or_bicycle,Public_Sector,777.374329369,5.0,No
7993,Reds,5.0,484.380974961,89532.8048579,Environment,161.460324987,No,554.518918905,No,Female,By_16:00,0.710456484929,0.509148864774,0.419388308655,9.20620985096,0.359447544906,8.46471111989,3672.0,94.4335457869,617.67241334,6780.53401573,73838.1935214,Yes,307491.231424,24.8530161819,764255.007965,0.126544479281,26240.8968699,90.0,45_and_up,3.0,937.391386349,2.0,Car,Student_or_Unemployed,652.068644906,5.0,No
640,Greens,6.0,549.689294458,180480.073236,Foreign_Affairs,183.229764819,No,984.993204648,No,Male,After_16:00,0.798474689247,0.976302117109,9.46823499398,6.06953862822,4.65192588512,2.99132698448,6055.0,33.3478403976,974.785543853,11799.5031342,117066.251304,Yes,970211.613203,31.2215557564,1902379.94636,66.9650065247,33766.3764806,40.0,30-45,3.0,1461.42638204,6.0,Motorcycle_or_truck,Student_or_Unemployed,971.240144223,1.0,Yes
9517,Yellows,4.0,485.538736707,62229.3990323,Social,161.846245569,No,384.497019461,Yes,Female,After_16:00,0.301165901357,0.273000560235,4.23892886844,6.583894738,2.57451587124,9.54207199393,8147.0,10.9136290848,617.44796151,5079.86611763,69959.5177916,Yes,147837.957975,24.8485001863,763488.346997,85.4401958408,26366.0534504,70.0,Below_30,1.0,899.09268339,6.0,Public_or_other,Student_or_Unemployed,609.87963217,0.0,No
5794,Browns,9.0,1879.59312678,292452.47752,Financial,626.53104226,Yes,466.78050694,Yes,Male,By_16:00,0.707163563464,0.888802631292,2.13292976609,7.24738564808,8.73558386462,7.61010439834,9068.0,16.5396727854,228.645996728,5125.09706286,26364.5744306,No,217884.04166,15.1210448293,105040.747889,91.3544469047,393177.677958,60.0,45_and_up,3.0,255.451318932,15.0,Motorcycle_or_truck,Industry_or_other,5.98374236416,0.0,No
4053,Reds,5.0,175.781448527,35785.1556689,Healthcare,58.5938161755,No,610.732633657,No,Male,After_16:00,0.12677566777,0.91647623782,4.47259853594,5.33720730105,9.20352435205,4.2279035761,6452.0,25.2038004342,670.23107559,7447.78848775,80792.4897448,Yes,372994.349814,25.8888214407,899770.189351,83.0776293529,3501.82911019,80.0,45_and_up,2.0,1029.31490369,10.0,Car,Public_Sector,730.067344585,4.0,No
1625,Oranges,3.0,541.635434614,71895.6686989,Education,,No,398.214356582,Yes,Female,After_16:00,0.942986841779,0.965769264149,8.73566675466,3.52926972788,4.81463832082,2.12367627537,3208.0,81.6157626454,559.565803811,5101.27517344,69080.3448923,Yes,158574.673788,23.6551432845,627398.837012,89.075796213,32787.0944815,100.0,45_and_up,1.0,924.853192251,20.0,Car,Industry_or_other,762.845066326,0.0,No
6803,Greens,9.0,386.59274629,118005.885187,Foreign_Affairs,128.864248763,No,915.737967041,No,Male,After_16:00,0.172848930815,0.72374365991,1.2500049104,8.12708489131,2.79465110973,7.89845995605,4484.0,97.9151252192,821.816323359,10801.0123171,98530.126097,Yes,838576.02428,28.6673389654,1352438.45381,,16744.8588581,40.0,45_and_up,2.0,1205.49707009,7.0,Motorcycle_or_truck,Industry_or_other,748.577164719,0.0,Yes
6462,Yellows,2.0,1025.71256515,130534.594403,Social,341.904188384,No,381.78705859,Yes,Female,After_16:00,0.71831138269,0.278392924694,4.31538687786,0.451622090768,3.0849555647,6.68739392422,3795.0,96.1112796562,626.15541302,5070.18141194,70134.2232677,Yes,145761.358107,25.0230975904,785122.181317,65.1783230715,117250.378223,70.0,45_and_up,2.0,896.314452144,5.0,Public_or_other,Student_or_Unemployed,589.191749134,0.0,No
8711,Reds,10.0,192.452415236,37384.664757,Environment,64.1508050786,No,582.762207134,No,Female,After_16:00,0.964228606783,0.0214433022775,6.39162748819,7.28103466332,6.32067741128,9.78918077657,6431.0,37.7615407575,641.918032691,7111.45813673,77041.0368318,Yes,339611.790064,25.3361013712,825396.398233,30.0017477013,4189.47659731,90.0,Below_30,3.0,979.059769596,2.0,Foot_or_bicycle,Public_Sector,686.114638923,1.0,No
8430,Greys,8.0,101.044805417,14900.4577729,Education,33.6816018055,No,442.39160177,Yes,Male,After_16:00,0.0950466941576,0.516056604218,1.76654721843,1.59380202182,9.34976291377,5.25723080384,7147.0,11.4127147943,585.2135543,5594.3431263,70977.3298291,Yes,195710.329317,24.1911875339,686125.660235,21.5372716542,1178.13190199,100.0,45_and_up,3.0,932.661538503,16.0,Public_or_other,Industry_or_other,723.460358912,0.0,No
5758,Greys,9.0,489.222834689,73215.0814335,Environment,163.07427823,No,448.967686555,Yes,Male,After_16:00,0.0798981538974,0.472899325425,8.25874291128,0.956558752805,2.95088564744,1.49511927739,9235.0,51.2260511518,598.443088918,5686.56304339,72190.763894,Yes,201571.983571,24.4630964703,717452.571038,78.0240061227,26766.2944984,90.0,Below_30,4.0,946.166551054,12.0,Motorcycle_or_truck,Student_or_Unemployed,725.342004746,0.0,No
5802,Greys,1.0,305.770908176,43760.0482271,Environment,101.923636059,No,429.341514091,Yes,Male,By_16:00,0.932896737708,0.96477114642,1.73443401931,3.15996657126,7.57503214292,0.447067578789,3582.0,51.4282821678,586.125059578,5465.66526006,70300.0269724,Yes,184334.135722,24.2100198178,688225.000118,53.3111270051,10500.3512235,90.0,Below_30,3.0,920.69054126,4.0,Car,Industry_or_other,700.487672461,0.0,No
8886,Blues,9.0,258.544053728,52230.9469406,Social,86.1813512427,No,606.058575173,No,Male,By_16:00,0.769123116042,0.990082622739,2.66357602552,3.31452153623,4.42894949112,7.87203707499,5543.0,62.4878733885,661.782286678,7384.15032509,79794.1396693,Yes,367306.996541,25.7251294784,877247.151147,0.227237050422,7523.40665326,70.0,45_and_up,4.0,1015.96124068,10.0,Motorcycle_or_truck,Hightech,719.502650308,3.0,No
6519,Greens,9.0,944.392679973,131060.520548,Other,314.797559991,No,416.332707763,Yes,Female,By_16:00,0.509504483314,0.947066762717,4.97113866964,5.46681178967,0.436390240211,3.08496504789,5796.0,35.8521117829,562.036467563,5287.40001275,58925.1460505,Yes,173332.923553,23.7073083154,632495.643692,28.8293552119,99422.3013363,50.0,30-45,1.0,697.130713616,9.0,Foot_or_bicycle,Student_or_Unemployed,299.329244066,0.0,Yes
4870,Yellows,7.0,679.328839961,127889.336227,Healthcare,226.442946654,No,564.775092874,No,Female,By_16:00,0.856910412433,0.460057300748,5.01894827466,8.79831586499,1.65441399673,5.95672430471,3711.0,48.7922213506,624.914527841,6897.57998442,78591.8141837,Yes,318970.905531,24.9982904984,782437.086496,96.224342403,51512.8510359,80.0,30-45,4.0,1031.88917951,16.0,Foot_or_bicycle,Hightech,825.977190332,0.0,No
1279,Reds,3.0,232.481347468,30747.4942925,Financial,77.4937824892,No,396.773693384,Yes,Female,After_16:00,0.63888446358,0.934229059843,7.58254802553,4.44772307994,8.9161817031,1.38512473088,6652.0,64.3817140721,776.009929346,5519.75679253,89113.4865285,Yes,157429.363761,27.8569547752,1205671.66151,88.5167103028,6092.78010697,60.0,Below_30,2.0,1179.11977082,7.0,Foot_or_bicycle,Hightech,882.066930145,0.0,No
6750,Yellows,10.0,90.4385203137,12384.8235938,Education,30.1461734379,No,410.825726166,Yes,Female,By_16:00,0.471783912741,0.776575432857,2.27788167773,8.8254394196,0.118109614123,4.73157808883,3424.0,12.0063258102,611.186558716,5330.6303791,70980.4517161,Yes,168777.77728,24.7221875795,748175.431343,7.12589286268,948.937946386,100.0,Below_30,4.0,919.443729243,12.0,Car,Hightech,656.586507565,2.0,No
3880,Yellows,4.0,68.7971691254,8987.80807128,Social,22.9323897085,No,391.926362038,Yes,Male,After_16:00,0.548242054414,0.422361469362,8.72490148759,9.58240696229,2.83353965031,3.81761305034,6895.0,19.0268335864,513.411540893,4946.08670217,61560.8438687,Yes,153606.273261,22.6585864717,528185.841461,43.02742281,558.826887449,70.0,30-45,4.0,801.810250021,10.0,Foot_or_bicycle,Hightech,601.094454027,0.0,No
5262,Reds,10.0,327.09087047,39913.958413,Environment,109.030290157,No,366.081373861,Yes,Male,After_16:00,0.286191136343,0.789241509046,2.21446405398,1.66246475885,0.761905261315,8.5482468782,9712.0,24.0012916969,687.583571392,5035.98088139,80918.4655281,Yes,134015.572288,26.2218147997,946774.433908,39.9497791193,12006.6344618,90.0,30-45,3.0,1083.44197036,17.0,Foot_or_bicycle,Hightech,856.01723744,0.0,No
1200,Oranges,7.0,189.240056461,48966.8372387,Environment,63.0800188204,No,776.265418977,No,Female,By_16:00,0.635424189968,0.585833925987,5.75214321725,0.263109202497,6.3503153855,6.51828955393,4251.0,55.2376354579,815.096981706,9392.84815318,94072.7608396,Yes,602588.0007,28.5499033572,1330233.68329,12.673088233,4052.16879321,90.0,Below_30,0.0,1151.83317718,6.0,Motorcycle_or_truck,Hightech,681.238703502,0.0,No
6284,Whites,3.0,252.249171877,70410.5631862,Foreign_Affairs,84.0830572925,No,837.392995134,No,Male,After_16:00,0.763397214934,0.801572439028,4.65199262137,1.01060380694,0.501286759973,7.3481302592,3413.0,79.4894061051,999.905723437,10373.7413982,113557.206258,Yes,701227.028299,31.6212859232,2001310.69876,35.3654312668,7164.04358094,40.0,45_and_up,5.0,1403.85156944,18.0,Foot_or_bicycle,Hightech,840.394237662,2.0,Yes
6477,Oranges,3.0,231.468325884,59631.448488,Healthcare,77.1561086279,No,772.867496151,No,Male,By_16:00,0.0172809751239,0.213061672868,3.34588033147,5.02329802606,2.22676674137,3.36607740726,3108.0,7.6388963731,837.950432788,9404.57582709,95569.1825195,Yes,597324.166607,28.9473735041,1405774.04487,81.2210145639,6040.22120723,80.0,Below_30,1.0,1166.10301873,14.0,Motorcycle_or_truck,Industry_or_other,669.321759212,0.0,No
6446,Yellows,9.0,105.861037331,14822.8411199,Environment,35.2870124436,No,420.065063417,Yes,Female,By_16:00,0.0794024935458,0.114450365072,5.42765931692,1.91757598426,1.83073739056,0.358743688557,7402.0,61.7366052698,578.487463649,5357.62556147,67979.2026472,Yes,176454.657504,24.0517663312,670358.560587,61.5469343262,1290.46025964,90.0,30-45,3.0,879.147386173,13.0,Motorcycle_or_truck,Public_Sector,633.004325094,0.0,No
8117,Yellows,10.0,430.934195188,55020.8295129,Environment,143.644731729,No,383.034092866,Yes,Male,By_16:00,0.0458333138376,0.804392294493,2.9871008452,7.88890299154,9.73890745081,2.17310375301,3634.0,74.2612955859,571.076419147,4972.49376695,65515.7305218,Yes,146715.116298,23.8972052581,653228.632208,29.0406550746,20787.4536853,90.0,45_and_up,2.0,841.79473894,13.0,Motorcycle_or_truck,Services_or_Retail,579.045104842,3.0,No
5565,Yellows,6.0,165.709482328,,Education,55.2364941095,No,404.037688409,Yes,Male,By_16:00,0.616832317784,0.0979462647811,9.95033506071,5.92873776332,4.95600802591,8.62686945824,4200.0,30.2141983993,616.83208581,5274.04105571,70859.6882139,Yes,163246.453655,24.8361044814,762014.398407,47.5577498088,3116.30677562,100.0,Below_30,4.0,913.910920987,7.0,Foot_or_bicycle,Hightech,636.716549834,0.0,No
4289,Whites,8.0,193.795900908,43778.2790483,Foreign_Affairs,64.5986336361,No,677.696672268,No,Male,By_16:00,0.81801024708,0.866025425727,5.86898127571,3.52098552277,4.99484260334,8.49231703673,3216.0,8.9626284549,853.201764128,8483.37025094,98816.7067086,Yes,459272.779603,29.2096176649,1457422.0113,28.0965202954,4247.58210129,40.0,45_and_up,5.0,1249.5582582,4.0,Foot_or_bicycle,Student_or_Unemployed,827.814006516,0.0,Yes
1701,Reds,3.0,682.423563643,86424.8977383,Education,227.474521214,No,379.932210768,Yes,Male,By_16:00,0.671360425418,0.217739279382,0.528216403909,0.871155241039,7.86864413414,7.10330681177,5884.0,79.2379542021,702.293538611,5203.9091849,81536.7785673,Yes,144348.484779,26.5008214705,987643.858696,30.2689648233,51982.1323229,100.0,30-45,1.0,1080.80627312,10.0,Public_or_other,Public_Sector,821.49773458,0.0,No
7190,Oranges,6.0,517.645906257,73998.6897173,Environment,172.548635419,No,428.85699755,Yes,Female,By_16:00,0.702534265351,0.584214483853,9.86642274074,5.76907647075,3.66028555203,0.447735942435,4767.0,66.9104167493,585.642785641,5459.85554679,71824.789394,Yes,183918.324348,24.2000575545,687162.619031,15.6706252834,29955.5802204,90.0,30-45,1.0,954.37284997,18.0,Public_or_other,Public_Sector,768.817286276,1.0,No
8151,Reds,7.0,948.811265012,177697.847683,Financial,316.270421671,No,561.854146033,No,Male,After_16:00,0.798732093768,0.650710437214,1.10164180631,8.78394230967,4.83270579483,7.30596831534,7590.0,64.3708502175,665.437958042,6949.41737641,78299.8239851,Yes,315680.081415,25.796084161,886861.696015,64.7499088664,100353.250045,60.0,Below_30,1.0,992.324508563,6.0,Car,Hightech,674.489863444,0.0,No
4789,Reds,10.0,692.369288554,80249.1078472,Financial,230.789762851,No,347.715196964,Yes,Male,After_16:00,0.870882232441,0.680681855883,5.54837668315,0.851014042273,7.9188749264,5.49101409502,7744.0,55.263697193,658.279854607,4793.71167885,78012.5442096,Yes,120905.8582,25.6569650311,867867.622963,61.9608168257,53504.7043999,60.0,Below_30,4.0,1049.81029086,1.0,Foot_or_bicycle,Services_or_Retail,845.173804031,0.0,No
723,Oranges,4.0,274.174319449,35971.7247753,Education,91.3914398163,No,393.600591561,Yes,Male,By_16:00,0.279392881086,0.622869356768,7.24038079381,8.19774333388,0.337670131121,9.22335353913,4453.0,56.8472359795,556.412410535,5048.83073667,67487.4866732,Yes,154921.425677,23.5883956753,620301.110645,2.34313637484,8453.78671151,100.0,30-45,1.0,894.115658504,3.0,Public_or_other,Hightech,707.968859734,0.0,No
4062,Yellows,6.0,71.019347783,10607.0322599,Healthcare,23.6731159277,No,448.062362905,Yes,Male,After_16:00,0.529294539476,0.565222166711,7.98592863372,9.46192482719,8.79081539344,4.4853896671,6519.0,72.1506290603,605.643553152,5691.91073535,74605.7989136,Yes,200759.881052,24.6098263536,734872.256899,5.84113937803,594.089533652,80.0,45_and_up,2.0,992.869227432,12.0,Motorcycle_or_truck,Industry_or_other,805.96758661,1.0,No
3976,Whites,6.0,117.320880473,4267.02535572,Military,39.1069601577,No,109.111660393,Yes,Male,After_16:00,0.223414587788,0.770437712781,0.896103172563,1.23239674605,6.70790828997,8.84526915383,9890.0,82.4302028865,894.241821201,2879.60024633,85310.3657762,Yes,11905.3544337,29.9038763574,1599974.07348,66.4108993951,1578.46129293,30.0,45_and_up,1.0,1074.77493237,3.0,Foot_or_bicycle,Public_Sector,518.092254498,1.0,Yes
861,Greys,2.0,414.941617796,60015.7188824,Healthcare,138.313872599,No,433.909612643,Yes,Male,After_16:00,0.0775111233816,0.934505322017,5.94041003846,1.340197057,4.57505641971,5.08553468855,4056.0,25.797250215,588.996504913,5517.08913626,71369.6793758,Yes,188277.551944,24.2692501926,695011.305453,69.4366278592,19279.0412258,80.0,45_and_up,2.0,940.302936727,8.0,Foot_or_bicycle,Student_or_Unemployed,733.630242082,0.0,No
362,Yellows,7.0,212.455628699,23512.7357308,Financial,70.8185428998,No,332.013830955,Yes,Male,After_16:00,0.388577523641,0.478618731955,9.78428934002,6.36815845268,8.29345539445,4.06405278947,7702.0,74.8012583936,558.255984852,4436.65027926,64528.0415954,Yes,110233.183946,23.6274413522,624259.908629,59.3056230573,5096.08456135,60.0,30-45,2.0,844.834545135,15.0,Foot_or_bicycle,Student_or_Unemployed,618.405551346,0.0,No
6730,Blues,1.0,210.452911674,30371.4592585,Education,70.1509705581,No,432.944248909,Yes,Female,After_16:00,0.481496447464,0.478610975901,9.46944725234,2.10820847657,0.822987023275,9.62676987983,4845.0,93.6473359121,580.128022194,5489.69853348,67582.9494237,Yes,187440.722663,24.0858469271,674140.538754,27.2758904146,5001.30964081,100.0,30-45,1.0,865.684762621,3.0,Motorcycle_or_truck,Services_or_Retail,600.550235511,2.0,No
6931,Yellows,9.0,542.062314834,66555.4074289,Education,180.687438278,No,368.345514571,Yes,,By_16:00,0.913625887362,0.27343257959,2.68931296887,7.12965732673,3.32903374452,2.23285302985,5512.0,77.397539583,589.013775129,4861.48269596,67859.8780141,Yes,135678.418104,24.2696059945,694882.230632,6.8610584829,32838.6377897,100.0,30-45,2.0,881.66221551,16.0,Public_or_other,Hightech,629.430532873,0.0,No
9240,Oranges,1.0,80.7077100977,11227.415308,Social,26.9025700326,No,417.336161355,Yes,Female,By_16:00,0.854297726415,0.955316837179,3.53549122112,5.8950110944,0.219429968856,8.87655119644,9899.0,63.5317069711,571.289095038,5315.93980363,69395.5879756,Yes,174169.471575,23.9016546506,653891.437495,93.3406589087,760.65084439,70.0,Below_30,3.0,916.714358832,12.0,Car,Public_Sector,721.641114324,2.0,No
8329,Yellows,5.0,31.132054551,3491.85540097,Social,10.377351517,No,336.488110213,Yes,Female,After_16:00,0.88295209012,0.261462556664,0.930893898476,2.68184523331,2.90411358234,5.36418106873,8501.0,62.4778622296,574.330185816,4513.54147376,65861.9071377,Yes,113224.248314,23.9651869556,660673.995155,61.336689,128.066776025,70.0,Below_30,1.0,859.137160839,2.0,Motorcycle_or_truck,Industry_or_other,617.182365166,0.0,No
2123,Reds,6.0,82.1503254178,16725.907126,Social,27.3834418059,No,610.803683647,No,Male,By_16:00,0.953701284481,,8.51174020208,6.69146601111,3.54724238859,8.40002818732,5944.0,79.8315519933,686.272266232,7480.58136893,81803.1607523,Yes,373081.139956,26.1967987783,943278.212082,0.999227329157,787.236326946,70.0,Below_30,2.0,1037.80620866,19.0,Foot_or_bicycle,Hightech,718.161601383,1.0,No
8857,Greys,3.0,515.343480613,70733.6864204,Education,171.781160204,No,411.76626317,Yes,Male,After_16:00,0.677842267323,0.297379780095,8.9210591861,7.44878668105,8.12561529921,5.22434585029,7196.0,4.26973986905,588.598954822,5294.86054135,70477.996982,Yes,169551.455485,24.2610584028,694031.836547,91.2062621908,29690.5481614,100.0,Below_30,1.0,927.221210056,6.0,Foot_or_bicycle,Public_Sector,712.611048799,2.0,No
5118,Purples,5.0,1011.48751125,224013.49886,Financial,337.162503752,Yes,664.408101041,No,Female,After_16:00,0.0295231002383,0.379836694337,6.66881923331,9.60140422685,2.14984771097,0.268283858895,5745.0,51.8219889142,396.209544956,7436.50010032,62831.832389,No,441438.124729,19.9050130609,315501.029525,53.6638791673,114025.71644,60.0,Below_30,,854.336597843,15.0,Car,Services_or_Retail,862.614394557,3.0,Yes
4512,Yellows,2.0,895.233550731,115138.457557,Financial,298.411183577,No,385.838279172,Yes,Male,By_16:00,0.300351873739,0.740814191988,6.88323871698,7.03056488419,7.66859284369,6.25613616314,7162.0,62.8533729119,583.105604241,5024.59400021,66814.3013765,Yes,148871.177675,24.1475796767,681011.721078,37.2855140362,89357.6456673,60.0,Below_30,3.0,859.174573719,6.0,Public_or_other,Public_Sector,591.591403969,0.0,No
5196,Browns,5.0,1898.19661807,100891.309995,Social,632.732206023,Yes,159.453413363,Yes,Male,After_16:00,0.386987379752,0.0206561232917,4.39807261107,2.59186481824,3.93154159887,0.453009838238,4042.0,99.2009918671,797.324778971,3189.18369157,83295.5337628,No,25425.391033,28.2369399718,1272353.44423,71.5716211591,400992.776745,70.0,30-45,1.0,1098.72989063,11.0,Car,Industry_or_other,730.384496432,0.0,No
2709,Greys,7.0,254.596032433,40796.1639818,Environment,84.8653441444,No,480.716414846,Yes,Male,After_16:00,0.374663428636,0.319125160109,1.03552744724,3.10178368585,0.375394413713,1.8159391731,7284.0,50.2684211126,610.823658678,6028.81146581,73735.0103342,Yes,231088.271502,24.7148469281,747427.754268,33.1307784887,7296.9919809,90.0,30-45,0.0,,18.0,Public_or_other,Student_or_Unemployed,725.953851633,0.0,No
5691,Yellows,6.0,466.94151111,62145.5138391,Healthcare,155.64717037,No,399.27172265,Yes,Male,By_16:00,0.662296485156,0.0726607607212,0.0185150280595,9.46160886437,8.67425804259,4.73973648157,6753.0,99.3029370671,576.996250956,5146.70972841,69010.5428066,Yes,159417.908508,24.0207462614,666957.019976,35.0060120923,24391.6888145,80.0,Below_30,1.0,908.424307801,13.0,Motorcycle_or_truck,Student_or_Unemployed,698.401019352,0.0,No
4295,Oranges,10.0,374.655138142,52962.0392861,Social,124.885046047,No,,Yes,Male,By_16:00,0.163709332701,0.455391268712,0.00919370213524,0.589035397861,5.88370821206,6.92169387126,4120.0,72.4239009898,547.518522594,5335.90021996,67991.6513626,Yes,179849.204671,23.3991137139,600725.442884,56.8273728946,15731.1597723,70.0,Below_30,1.0,904.321001169,6.0,Foot_or_bicycle,Hightech,738.291398173,0.0,No
